EXPORTED CROSS SECTION DATA
69 48 48
x coordinate
Abs Net Doping
Composition X
Composition Y
Donor Conc
Acceptor Conc
Potential
e- Mobility
h+ Mobility
Electric Field
Electron Conc
Hole Conc
Cond. Current Density
Disp. Current Density
Electron QFL
Hole QFL
Valence Band Energy
Conduction Band Energy
Net Doping
Recombination Rate
E Field X
E Field Y
Lattice Temperature
e- Mobility X
e- Mobility Y
h+ Mobility X
h+ Mobility Y
Total Doping
h+ Current Density
e- Current Density
Current Flowlines
Total Current Density
Je- X
Jh+ X
Jtot X
Je- Y
Jh+ Y
Jtot Y
e- Mobility Z
h+ Mobility Z
e- SRH Tno
h+ SRH Tno
Cond Current X
Cond Current Y
Jtot Z
Je- Z
Jh+ Z
E Field Z
2.5000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4630081380e+00 1.7423858918e+01 1.2070466851e+01 9.6189062462e+05 2.1314231420e+01 -1.7092215566e+00 2.3279024030e+07 0.0000000000e+00 -7.9906580153e-01 -7.5644397512e-01 -1.9902062217e+00 -9.1020622081e-01 2.0000000000e+01 -4.9020618098e+06 1.4009005071e+05 -9.1224373490e+05 3.0000000000e+02 4.0481720628e+01 2.7911840132e+01 2.3712795233e+01 1.6376799577e+01 2.0000000000e+01 1.5486720287e-14 2.3279024030e+07 4.2960077057e-01 2.3279024030e+07 5.4253958154e+06 4.2504526953e-15 5.4253958154e+06 -2.1530955832e+07 -1.4121834662e-14 -2.1530955832e+07 5.5428104187e+01 3.5575443127e+01 1.0000000000e-07 1.0000000000e-07 5.4253958154e+06 -2.1530955832e+07 1.0582392971e+02 1.0582392971e+02 7.6017974989e-20 -7.2209130319e+03 
2.6800000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4625213273e+00 1.7120707875e+01 1.1882719155e+01 9.6811243540e+05 2.1311290981e+01 -1.7306687952e+00 2.6650109145e+07 0.0000000000e+00 -7.9875402498e-01 -7.5468048449e-01 -1.9897194106e+00 -9.0971940997e-01 2.0000000000e+01 -4.9888179051e+06 1.4318049259e+05 -9.1725309607e+05 3.0000000000e+02 4.0371768576e+01 2.7322372383e+01 2.3607373060e+01 1.6026899613e+01 2.0000000000e+01 1.5469009676e-14 2.6650109145e+07 4.3192004357e-01 2.6650109145e+07 7.3300969297e+06 4.2383578705e-15 7.3300969297e+06 -2.4252049199e+07 -1.4105401839e-14 -2.4252049199e+07 5.5187083174e+01 3.4606903987e+01 1.0000000000e-07 1.0000000000e-07 7.3300969297e+06 -2.4252049199e+07 1.5192919704e+02 1.5192919704e+02 8.8859587439e-20 -1.2317850587e+04 
3.0000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4622296349e+00 1.6562759544e+01 1.1532562190e+01 9.7868766766e+05 2.1308828244e+01 -1.7398873228e+00 3.3286518525e+07 0.0000000000e+00 -7.9860893071e-01 -7.5384004495e-01 -1.9894277170e+00 -9.0942771742e-01 2.0000000000e+01 -5.0656802316e+06 1.4490351793e+05 -9.2768066156e+05 3.0000000000e+02 4.0146272186e+01 2.6764424051e+01 2.3379708130e+01 1.5676742648e+01 2.0000000000e+01 1.5515096869e-14 3.3286518525e+07 4.3515557495e-01 3.3286518525e+07 7.4655410043e+06 4.2286277843e-15 7.4655410043e+06 -3.0878964635e+07 -1.4154609169e-14 -3.0878964635e+07 5.4865778116e+01 3.3813058892e+01 1.0000000000e-07 1.0000000000e-07 7.4655410043e+06 -3.0878964635e+07 1.6602556343e+02 1.6602556343e+02 9.5740206573e-20 -1.5570048830e+04 
3.1800000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4609156998e+00 1.5836619785e+01 1.1119005725e+01 9.9688198240e+05 2.1296096262e+01 -1.7666606813e+00 3.8247967207e+07 0.0000000000e+00 -7.9805288658e-01 -7.5093238438e-01 -1.9881137812e+00 -9.0811378245e-01 2.0000000000e+01 -5.4024999829e+06 1.5374673949e+05 -9.4166242495e+05 3.0000000000e+02 3.9804444932e+01 2.5137436924e+01 2.3102781290e+01 1.4830645348e+01 2.0000000000e+01 1.5642986096e-14 3.8247967207e+07 4.3786546934e-01 3.8247967207e+07 1.0252605893e+07 4.2939995201e-15 1.0252605893e+07 -3.4909453935e+07 -1.4255999177e-14 -3.4909453935e+07 5.3303625446e+01 3.1485928343e+01 1.0000000000e-07 1.0000000000e-07 1.0252605893e+07 -3.4909453935e+07 2.4166924032e+02 2.4166924032e+02 1.0979869831e-19 -3.2112577974e+04 
3.5000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4600835310e+00 1.4500296598e+01 1.0350404462e+01 1.0265639479e+06 2.1286660236e+01 -1.7771631400e+00 4.7696280664e+07 0.0000000000e+00 -7.9778241173e-01 -7.4947504063e-01 -1.9872816135e+00 -9.0728161369e-01 2.0000000000e+01 -5.7013346396e+06 1.5925505197e+05 -9.7031688860e+05 3.0000000000e+02 3.9109167015e+01 2.3801113737e+01 2.2502912426e+01 1.4062044085e+01 2.0000000000e+01 1.5811619980e-14 4.7696280664e+07 4.4164932864e-01 4.7696280664e+07 1.0477252109e+07 4.3153772711e-15 1.0477252109e+07 -4.4336668040e+07 -1.4423338252e-14 -4.4336668040e+07 5.1697270058e+01 2.9736770310e+01 1.0000000000e-07 1.0000000000e-07 1.0477252109e+07 -4.4336668040e+07 2.6303389303e+02 2.6303389303e+02 1.1709382516e-19 -4.2922178138e+04 
3.6800000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4556626385e+00 1.3390750324e+01 9.7169598888e+00 1.0860266798e+06 2.1239845422e+01 -1.8036274413e+00 5.6881198394e+07 0.0000000000e+00 -7.9614824291e-01 -7.4347881980e-01 -1.9828607203e+00 -9.0286072111e-01 2.0000000000e+01 -7.1526438471e+06 1.8472265749e+05 -1.0095967830e+06 3.0000000000e+02 3.8125362201e+01 2.0289544513e+01 2.1884605560e+01 1.2485475137e+01 2.0000000000e+01 1.6276616479e-14 5.6881198394e+07 4.4481515670e-01 5.6881198394e+07 1.6120860341e+07 4.6174162934e-15 1.6120860341e+07 -5.1601147662e+07 -1.4768934272e-14 -5.1601147662e+07 4.4550810267e+01 2.5391590320e+01 1.0000000000e-07 1.0000000000e-07 1.6120860341e+07 -5.1601147662e+07 3.8790474841e+02 3.8790474841e+02 1.2976266704e-19 -1.0506122821e+05 
4.0000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4529555915e+00 1.1348978354e+01 8.5400718564e+00 1.1858514105e+06 2.1211070207e+01 -1.8118405488e+00 7.0300382770e+07 0.0000000000e+00 -7.9515408495e-01 -7.4028287490e-01 -1.9801536729e+00 -9.0015367422e-01 2.0000000000e+01 -8.3682617462e+06 2.0148045574e+05 -1.1009830391e+06 3.0000000000e+02 3.6034594241e+01 1.8247772543e+01 2.0405590117e+01 1.1308587104e+01 2.0000000000e+01 1.6644112987e-14 7.0300382770e+07 4.4945737110e-01 7.0300382770e+07 1.7195287549e+07 4.7329303322e-15 1.7195287549e+07 -6.4810149410e+07 -1.5113903420e-14 -6.4810149410e+07 3.9806509809e+01 2.2416498401e+01 1.0000000000e-07 1.0000000000e-07 1.7195287549e+07 -6.4810149410e+07 4.2053015973e+02 4.2053015973e+02 1.3586187095e-19 -1.4255879362e+05 
4.1800000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4379993643e+00 9.7462808256e+00 7.5648252293e+00 1.3835981402e+06 2.1129234135e+01 -1.8229590941e+00 8.7043149250e+07 0.0000000000e+00 -7.8506927609e-01 -7.2466479925e-01 -1.9651974468e+00 -8.8519744687e-01 2.0000000000e+01 -1.1942840665e+07 2.6281303840e+05 -1.1934540334e+06 3.0000000000e+02 3.4511257224e+01 1.4573074604e+01 1.9473753714e+01 9.4957894653e+00 2.0000000000e+01 1.7208149368e-14 8.7043149250e+07 4.5275609290e-01 8.7043149250e+07 2.8605241397e+07 5.1706308529e-15 2.8605241397e+07 -7.7152371498e+07 -1.5487288811e-14 -7.7152371498e+07 3.1902434722e+01 1.8317050534e+01 1.0000000000e-07 1.0000000000e-07 2.8605241397e+07 -7.7152371498e+07 5.8886973445e+02 5.8886973445e+02 1.3559191603e-19 -3.5326563912e+05 
4.5000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4300925400e+00 6.7969718702e+00 5.7557333689e+00 1.7072617196e+06 2.1099710842e+01 -1.8240109254e+00 1.1166167759e+08 0.0000000000e+00 -7.7891987129e-01 -7.1669536305e-01 -1.9572906229e+00 -8.7729062246e-01 2.0000000000e+01 -1.3912597330e+07 2.9558573161e+05 -1.4737193784e+06 3.0000000000e+02 3.0225681393e+01 1.2627110349e+01 1.6378714439e+01 8.1196368662e+00 2.0000000000e+01 1.7656081139e-14 1.1166167759e+08 4.5856755725e-01 1.1166167759e+08 3.1029502748e+07 5.3295938206e-15 3.1029502748e+07 -1.0113650378e+08 -1.5895996934e-14 -1.0113650378e+08 2.6260738432e+01 1.4362649466e+01 1.0000000000e-07 1.0000000000e-07 3.1029502748e+07 -1.0113650378e+08 6.4438070041e+02 6.4438070041e+02 1.3609757089e-19 -4.5726131489e+05 
4.6800000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.3919171899e+00 5.7751547916e+00 4.9479162201e+00 2.1842610227e+06 2.1115658521e+01 -1.8297675382e+00 1.3118436489e+08 0.0000000000e+00 -7.3979521128e-01 -6.7817734184e-01 -1.9191152727e+00 -8.3911527249e-01 2.0000000000e+01 -1.2893214057e+07 4.0587036450e+05 -1.6425828498e+06 3.0000000000e+02 2.9134762377e+01 1.0971757705e+01 1.5490307985e+01 6.7539839642e+00 2.0000000000e+01 1.7034600385e-14 1.3118436489e+08 4.6081769938e-01 1.3118436489e+08 4.4426980015e+07 4.9656854461e-15 4.4426980015e+07 -1.1515270841e+08 -1.5379689502e-14 -1.1515270841e+08 2.3667216184e+01 1.2549629108e+01 1.0000000000e-07 1.0000000000e-07 4.4426980015e+07 -1.1515270841e+08 7.4757918084e+02 7.4757918084e+02 1.0862650174e-19 -9.2164458305e+05 
