EXPORTED CROSS SECTION DATA
69 48 48
x coordinate
Abs Net Doping
Composition X
Composition Y
Donor Conc
Acceptor Conc
Potential
e- Mobility
h+ Mobility
Electric Field
Electron Conc
Hole Conc
Cond. Current Density
Disp. Current Density
Electron QFL
Hole QFL
Valence Band Energy
Conduction Band Energy
Net Doping
Recombination Rate
E Field X
E Field Y
Lattice Temperature
e- Mobility X
e- Mobility Y
h+ Mobility X
h+ Mobility Y
Total Doping
h+ Current Density
e- Current Density
Current Flowlines
Total Current Density
Je- X
Jh+ X
Jtot X
Je- Y
Jh+ Y
Jtot Y
e- Mobility Z
h+ Mobility Z
e- SRH Tno
h+ SRH Tno
Cond Current X
Cond Current Y
Jtot Z
Je- Z
Jh+ Z
E Field Z
5.0000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.3750891163e+00 3.8944223586e+00 3.4472125311e+00 2.9360020366e+06 2.1135418286e+01 -1.8322766186e+00 1.6342042428e+08 0.0000000000e+00 -7.2179090719e-01 -6.6119991128e-01 -1.9022871983e+00 -8.2228719894e-01 2.0000000000e+01 -1.1478110122e+07 4.2540946504e+05 -2.3048715294e+06 3.0000000000e+02 2.2068713240e+01 9.5375052767e+00 1.0559526045e+01 5.4450820483e+00 2.0000000000e+01 1.6966503087e-14 1.6342042428e+08 4.7939851359e-01 1.6342042428e+08 4.7029574594e+07 4.7874835867e-15 4.7029574594e+07 -1.4680331077e+08 -1.5354012450e-14 -1.4680331077e+08 1.6715173056e+01 8.1783180184e+00 1.0000000000e-07 1.0000000000e-07 4.7029574594e+07 -1.4680331077e+08 8.1910515782e+02 8.1910515782e+02 9.7977669716e-20 -1.1000693298e+06 
5.1800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 1.2991490953e+00 3.3554603313e+00 2.7864540201e+00 1.8700981880e+06 2.1189496645e+01 -1.8425567021e+00 1.6122168908e+08 0.0000000000e+00 -6.4263178820e-01 -5.8464795234e-01 -1.8263471791e+00 -7.4634717802e-01 1.7000000000e+01 -9.1673410818e+06 1.1269357575e+05 -1.6629186814e+05 3.0000000000e+02 2.4069393104e+01 1.2484007589e+01 1.0410256888e+01 5.6713958671e+00 1.7000000000e+01 1.2163037027e-14 1.6122168908e+08 5.0637482996e-01 1.6122168908e+08 4.4378514599e+07 1.8245035695e-15 4.4378514599e+07 -1.4567123902e+08 -1.1689382966e-14 -1.4567123902e+08 1.5872068386e+01 7.2831851456e+00 1.0000000000e-07 1.0000000000e-07 4.4378514599e+07 -1.4567123902e+08 4.2544899633e+03 4.2544899633e+03 3.5242572678e-19 -1.8553626275e+06 
5.5000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 1.0585461003e+00 1.8142503546e+00 1.2141473263e+00 6.3751397907e+06 2.0221173578e+01 -1.9025576232e+00 1.6121272960e+08 0.0000000000e+00 -4.5966971534e-01 -3.4047331001e-01 -1.5857441870e+00 -5.0574418274e-01 1.7000000000e+01 -1.2822404664e+07 1.8083890725e+05 -6.8084358611e+05 3.0000000000e+02 1.2325851308e+01 1.6856474914e+01 4.0716701663e+00 5.7924806673e+00 1.7000000000e+01 4.1581971872e-15 1.6121272960e+08 5.3604883759e-01 1.6121272960e+08 5.5526135253e+07 1.4562568620e-15 5.5526135253e+07 -1.4527222930e+08 -3.7540177954e-15 -1.4527222930e+08 1.8142503546e+00 1.2141473263e+00 1.0000000000e-07 1.0000000000e-07 5.5526135253e+07 -1.4527222930e+08 1.3927077095e+04 1.3927077095e+04 7.3288885324e-19 -6.3308598245e+06 
5.6800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 9.9222510594e-01 1.9440188359e+00 1.3679096878e+00 6.1702662221e+06 2.0265552763e+01 -1.9239516303e+00 1.2828664781e+08 0.0000000000e+00 -3.9070698181e-01 -2.7287880432e-01 -1.5194231923e+00 -4.3942318825e-01 1.7000000000e+01 -1.1464463535e+07 2.6019175328e+04 -4.5473339760e+05 3.0000000000e+02 1.5483258562e+01 2.2613468284e+01 5.0256731709e+00 7.4057699678e+00 1.7000000000e+01 4.3846844354e-15 1.2828664781e+08 5.6889510344e-01 1.2828664781e+08 2.7154790060e+06 -7.2555381689e-16 2.7154790060e+06 -7.7857350002e+07 -7.1648376044e-16 -7.7857350002e+07 1.9440188359e+00 1.3679096878e+00 1.0000000000e-07 1.0000000000e-07 2.7154790060e+06 -7.7857350002e+07 5.1064949299e+04 5.1064949299e+04 1.8110760607e-18 -6.1384799832e+06 
6.0000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 8.1404225234e-01 2.2423995383e+00 1.6568280430e+00 4.8986772225e+06 2.0156506978e+01 -1.7976587755e+00 8.3493557565e+07 0.0000000000e+00 -2.1901524646e-01 -1.0221372753e-01 -1.3412403354e+00 -2.6124033511e-01 1.7000000000e+01 -1.4795125481e+07 -8.9180400734e+04 2.6649338992e+05 3.0000000000e+02 1.9535323349e+01 3.0006007222e+01 6.2393386723e+00 9.4045301649e+00 1.7000000000e+01 5.7239016435e-15 8.3493557565e+07 6.5525863324e-01 8.3493557565e+07 -3.0748737298e+07 -2.0062778336e-15 -3.0748737298e+07 7.5779807773e+07 5.1576657615e-15 7.5779807773e+07 2.2423995383e+00 1.6568280430e+00 1.0000000000e-07 1.0000000000e-07 -3.0748737298e+07 7.5779807773e+07 1.0231327727e+05 1.0231327727e+05 3.5369754830e-18 -4.8900812872e+06 
6.1800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 7.7818703542e-01 3.0682904080e+00 2.5129968281e+00 4.2872682757e+06 2.0120904787e+01 -1.6822239545e+00 1.3519970742e+08 0.0000000000e+00 -1.8527930475e-01 -7.3229946223e-02 -1.3053851173e+00 -2.2538511814e-01 1.7000000000e+01 -1.5786412613e+07 -5.4365361793e+04 2.1893625301e+05 3.0000000000e+02 4.8575784090e+01 5.0816281750e+01 1.3987629845e+01 1.4657347029e+01 1.7000000000e+01 6.7389302825e-15 1.3519970742e+08 7.0628036834e-01 1.3519970742e+08 -5.8823812232e+07 -2.4740399412e-15 -5.8823812232e+07 1.1819471242e+08 6.0909623575e-15 1.1819471242e+08 3.0682904080e+00 2.5129968281e+00 1.0000000000e-07 1.0000000000e-07 -5.8823812232e+07 1.1819471242e+08 1.6947322134e+05 1.6947322134e+05 1.0946058018e-17 -4.2807658893e+06 
6.5000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 7.2753608602e-01 6.1549170135e+00 5.3081633442e+00 1.7308843431e+06 2.0191800491e+01 -1.4479768552e+00 2.5225430916e+08 0.0000000000e+00 -1.3040817955e-01 -3.6522916265e-02 -1.2547341698e+00 -1.7473416864e-01 1.7000000000e+01 -1.3170275312e+07 -1.5056252867e+04 4.5627367682e+04 3.0000000000e+02 1.4264141417e+02 1.0282488253e+02 3.7538584949e+01 2.8586909144e+01 1.7000000000e+01 7.7494177404e-15 2.5225430916e+08 8.1170468797e-01 2.5225430916e+08 -1.3339322496e+08 -3.6846959802e-15 -1.3339322496e+08 2.1006780162e+08 6.6547372023e-15 2.1006780162e+08 6.1549170135e+00 5.3081633442e+00 1.0000000000e-07 1.0000000000e-07 -1.3339322496e+08 2.1006780162e+08 4.0357357880e+05 4.0357357880e+05 2.9030509411e-17 -1.7301237287e+06 
6.6800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 7.1184357336e-01 8.4553707783e+00 7.3138042217e+00 1.3304674511e+06 2.0100184882e+01 -1.2678016398e+00 2.1290097012e+08 0.0000000000e+00 -1.2016922721e-01 -3.1555610786e-02 -1.2390416570e+00 -1.5904165608e-01 1.7000000000e+01 -1.7083358033e+07 1.6025081707e+04 3.8054509995e+01 3.0000000000e+02 1.3868494746e+02 1.5008565874e+02 4.0567610777e+01 3.9111814360e+01 1.7000000000e+01 5.3805787096e-15 2.1290097012e+08 8.2556000717e-01 2.1290097012e+08 -1.1197861673e+08 -1.6432667644e-15 -1.1197861673e+08 1.7811555512e+08 4.4229674793e-15 1.7811555512e+08 8.4553707783e+00 7.3138042217e+00 1.0000000000e-07 1.0000000000e-07 -1.1197861673e+08 1.7811555512e+08 3.1471255813e+05 3.1471255813e+05 2.2464008557e-17 -1.3268679403e+06 
7.0000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.9516998622e-01 1.8918903317e+01 1.5326173278e+01 6.7551680504e+05 2.0138743634e+01 -1.1058551078e+00 1.2318026197e+08 0.0000000000e+00 -1.0120037077e-01 -2.4522140411e-02 -1.2223680693e+00 -1.4236806879e-01 1.7000000000e+01 -1.6994631189e+07 3.8877272042e+04 -1.5232164183e+05 3.0000000000e+02 1.3995124001e+02 1.4088885559e+02 5.2928457097e+01 4.4272101000e+01 1.7000000000e+01 3.4134685002e-15 1.2318026197e+08 8.7789975209e-01 1.2318026197e+08 -6.9979248864e+07 1.0973485895e-15 -6.9979248864e+07 9.9544245395e+07 -1.6872020128e-15 9.9544245395e+07 1.8918903317e+01 1.5326173278e+01 1.0000000000e-07 1.0000000000e-07 -6.9979248864e+07 9.9544245395e+07 1.7607699280e+05 1.7607699280e+05 7.7902921176e-18 -6.4732176543e+05 
7.1800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.8743779733e-01 2.3142450176e+01 1.8639843310e+01 5.3361131395e+05 2.0094282785e+01 -9.9773194507e-01 9.4147706320e+07 0.0000000000e+00 -9.6114782292e-02 -2.3226149333e-02 -1.2146358813e+00 -1.3463588001e-01 1.7000000000e+01 -1.9757524313e+07 5.9268390273e+04 -1.8288437097e+05 3.0000000000e+02 1.3005396538e+02 1.2030875612e+02 5.1343480666e+01 4.5073288807e+01 1.7000000000e+01 5.0945850932e-15 9.4147706320e+07 8.6991242025e-01 9.4147706320e+07 -5.3799837930e+07 2.3999503292e-15 -5.3799837930e+07 7.5964852118e+07 -3.5225635429e-15 7.5964852118e+07 2.3142450176e+01 1.8639843310e+01 1.0000000000e-07 1.0000000000e-07 -5.3799837930e+07 7.5964852118e+07 1.6667253095e+05 1.6667253095e+05 7.1444879105e-18 -4.8811527864e+05 
7.5000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.8063772719e-01 2.6729113375e+01 2.1537045167e+01 4.4657582998e+05 2.0094551874e+01 -9.1948181821e-01 2.6567307370e+07 0.0000000000e+00 -8.9298694148e-02 -2.1084038499e-02 -1.2078358106e+00 -1.2783580996e-01 1.7000000000e+01 -2.0934326566e+07 7.2017875188e+04 -2.8036832870e+05 3.0000000000e+02 1.0160313734e+02 9.7617430341e+01 4.7610444153e+01 4.1149920844e+01 1.7000000000e+01 6.7627579743e-15 2.6567307370e+07 8.5498042680e-01 2.6567307370e+07 -1.1448798912e+07 3.3271148043e-15 -1.1448798912e+07 2.3610863825e+07 -5.6504234970e-15 2.3610863825e+07 5.0809447489e+01 3.1674096826e+01 1.0000000000e-07 1.0000000000e-07 -1.1448798912e+07 2.3610863825e+07 1.3927325280e+05 1.3927325280e+05 4.5571122383e-18 -2.9064515372e+05 
7.6800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.7631097725e-01 2.7920469907e+01 2.2549506107e+01 4.0925309665e+05 2.0075791216e+01 -8.5560282198e-01 1.6570964386e+07 0.0000000000e+00 -8.6088701271e-02 -2.0559784208e-02 -1.2035090602e+00 -1.2350905995e-01 1.7000000000e+01 -2.2189316933e+07 8.5288149112e+04 -3.0065150596e+05 3.0000000000e+02 9.5812160733e+01 7.7110293994e+01 4.6490340463e+01 3.8684880498e+01 1.7000000000e+01 7.4769055023e-15 1.6570964386e+07 8.3159046088e-01 1.6570964386e+07 -5.7001618473e+06 3.5899891712e-15 -5.7001618473e+06 1.5025569052e+07 -6.3918165476e-15 1.5025569052e+07 5.7369072546e+01 3.6153754193e+01 1.0000000000e-07 1.0000000000e-07 -5.7001618473e+06 1.5025569052e+07 1.3777879521e+05 1.3777879521e+05 4.3714393939e-18 -2.2253639360e+05 
8.0000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.7278022190e-01 2.6950080863e+01 2.2339609952e+01 4.3360130989e+05 2.0076615904e+01 -8.1425784436e-01 4.6509225487e+06 0.0000000000e+00 -8.2508855138e-02 -1.9490152371e-02 -1.1999783057e+00 -1.1997830473e-01 1.7000000000e+01 -2.2909246743e+07 9.3259554691e+04 -3.6132821645e+05 3.0000000000e+02 8.2535605465e+01 6.6538862418e+01 4.3626040988e+01 3.6013527946e+01 1.7000000000e+01 7.5078661545e-15 4.6509225487e+06 7.7170347803e-01 4.6509225487e+06 3.5362171235e+06 3.5293997277e-15 3.5362171235e+06 -1.4951128371e+06 -6.4474042360e-15 -1.4951128371e+06 1.0085246619e+02 4.5610203429e+01 1.0000000000e-07 1.0000000000e-07 3.5362171235e+06 -1.4951128371e+06 1.3138850688e+05 1.3138850688e+05 3.5107088838e-18 -1.5714995500e+05 
8.1800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.6995535969e-01 2.7584430784e+01 2.2709396094e+01 4.3283306765e+05 2.0069006971e+01 -7.7158105791e-01 9.5342219400e+06 0.0000000000e+00 -8.0136926430e-02 -1.9205691601e-02 -1.1971534422e+00 -1.1715344247e-01 1.7000000000e+01 -2.3270949932e+07 1.0243813247e+05 -3.7561735384e+05 3.0000000000e+02 7.9732803879e+01 5.7106566229e+01 4.2734773475e+01 3.3796977111e+01 1.7000000000e+01 7.4564846249e-15 9.5342219400e+06 7.3719630847e-01 9.5342219400e+06 6.4539566040e+06 3.3461857517e-15 6.4539566040e+06 -5.7214292444e+06 -6.5361069010e-15 -5.7214292444e+06 1.0871777538e+02 5.0071112507e+01 1.0000000000e-07 1.0000000000e-07 6.4539566040e+06 -5.7214292444e+06 1.3126752335e+05 1.3126752335e+05 3.3570879665e-18 -1.2711238782e+05 
8.5000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.6761859660e-01 2.8737494779e+01 2.3399231320e+01 4.6397896096e+05 2.0073666951e+01 -7.4397898758e-01 1.5285123974e+07 0.0000000000e+00 -7.7522770858e-02 -1.8511984253e-02 -1.1948166776e+00 -1.1481667937e-01 1.7000000000e+01 -2.3485079677e+07 1.0797423699e+05 -4.1605959260e+05 3.0000000000e+02 7.3482344632e+01 5.2477801176e+01 4.0773614720e+01 3.1998011124e+01 1.7000000000e+01 6.8290101734e-15 1.5285123974e+07 6.4943108094e-01 1.5285123974e+07 6.7456606202e+06 3.0856161651e-15 6.7456606202e+06 -1.3608168111e+07 -5.9641055038e-15 -1.3608168111e+07 1.3826953609e+02 5.4001107724e+01 1.0000000000e-07 1.0000000000e-07 6.7456606202e+06 -1.3608168111e+07 1.2801729508e+05 1.2801729508e+05 2.8537465735e-18 -1.0323265574e+05 
8.6800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.6538562562e-01 2.8479060514e+01 2.2973273490e+01 4.7263843317e+05 2.0071641607e+01 -7.0960271821e-01 1.9100829459e+07 0.0000000000e+00 -7.5410361560e-02 -1.8325313661e-02 -1.1925837077e+00 -1.1258370838e-01 1.7000000000e+01 -2.3291610765e+07 1.1513732674e+05 -4.2731374845e+05 3.0000000000e+02 7.1839722059e+01 4.7393786446e+01 4.0033121833e+01 3.0390024848e+01 1.7000000000e+01 6.4921783616e-15 1.9100829459e+07 6.0954189251e-01 1.9100829459e+07 8.9951373111e+06 2.7917197061e-15 8.9951373111e+06 -1.6677402855e+07 -5.7679001848e-15 -1.6677402855e+07 1.4416495838e+02 5.6756532215e+01 1.0000000000e-07 1.0000000000e-07 8.9951373111e+06 -1.6677402855e+07 1.2837071238e+05 1.2837071238e+05 2.6998043603e-18 -9.1394784640e+04 
9.0000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.6349441247e-01 2.7997317766e+01 2.2213493309e+01 5.0161395534e+05 2.0078773224e+01 -6.8611916032e-01 2.4381898566e+07 0.0000000000e+00 -7.3094627877e-02 -1.7831995450e-02 -1.1906924973e+00 -1.1069249506e-01 1.7000000000e+01 -2.3115826159e+07 1.1944358308e+05 -4.5882645094e+05 3.0000000000e+02 6.8038681383e+01 4.4853605528e+01 3.8469678004e+01 2.9090784543e+01 1.7000000000e+01 5.7830434305e-15 2.4381898566e+07 5.1000593402e-01 2.4381898566e+07 8.5648829269e+06 2.5281048982e-15 8.5648829269e+06 -2.2405745451e+07 -5.1095826553e-15 -2.2405745451e+07 1.5461137367e+02 5.7868075512e+01 1.0000000000e-07 1.0000000000e-07 8.5648829269e+06 -2.2405745451e+07 1.2415307298e+05 1.2415307298e+05 2.3479553902e-18 -8.2483800426e+04 
9.1800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.6133472950e-01 2.7112515653e+01 2.1656049097e+01 5.1300216791e+05 2.0080708153e+01 -6.5214643732e-01 2.8274660184e+07 0.0000000000e+00 -7.0819765295e-02 -1.7694591125e-02 -1.1885328153e+00 -1.0853281208e-01 1.7000000000e+01 -2.2415124186e+07 1.2585800861e+05 -4.6880399053e+05 3.0000000000e+02 6.6901223230e+01 4.1886882636e+01 3.7849394252e+01 2.7958110129e+01 1.7000000000e+01 5.3518940638e-15 2.8274660184e+07 4.7095837998e-01 2.8274660184e+07 1.1004085674e+07 2.2447674964e-15 1.1004085674e+07 -2.5428330825e+07 -4.7869372834e-15 -2.5428330825e+07 1.5547483896e+02 5.8151795157e+01 1.0000000000e-07 1.0000000000e-07 1.1004085674e+07 -2.5428330825e+07 1.2474975266e+05 1.2474975266e+05 2.1954337991e-18 -8.1018027038e+04 
9.5000000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.5953177401e-01 2.5483118452e+01 2.0646220826e+01 5.4235881609e+05 2.0089342381e+01 -6.2796403580e-01 3.4451203949e+07 0.0000000000e+00 -6.8502844097e-02 -1.7331130329e-02 -1.1867298585e+00 -1.0672985683e-01 1.7000000000e+01 -2.1859558224e+07 1.2950234345e+05 -4.9863737488e+05 3.0000000000e+02 6.3989030819e+01 4.0257485434e+01 3.6484111340e+01 2.6948281859e+01 1.7000000000e+01 4.7184615255e-15 3.4451203949e+07 3.7612425763e-01 3.4451203949e+07 1.2272811027e+07 2.0203639583e-15 1.2272811027e+07 -3.1456028848e+07 -4.1943870765e-15 -3.1456028848e+07 1.5472376783e+02 5.7444441397e+01 1.0000000000e-07 1.0000000000e-07 1.2272811027e+07 -3.1456028848e+07 1.1849821689e+05 1.1849821689e+05 1.9330658214e-18 -7.9252824787e+04 
9.6800000000e-03 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.5705253433e-01 2.4921375912e+01 2.0231343924e+01 5.5528217145e+05 2.0096003381e+01 -5.8812107826e-01 3.9097552933e+07 0.0000000000e+00 -6.5627098166e-02 -1.7223604065e-02 -1.1842506191e+00 -1.0425061716e-01 1.7000000000e+01 -2.0440618665e+07 1.3558856588e+05 -5.0782754415e+05 3.0000000000e+02 6.3195882100e+01 3.8908892279e+01 3.5980673510e+01 2.6292408281e+01 1.7000000000e+01 4.1803988480e-15 3.9097552933e+07 3.4303556420e-01 3.9097552933e+07 1.5368701840e+07 1.7387084623e-15 1.5368701840e+07 -3.4912583295e+07 -3.7419944682e-15 -3.4912583295e+07 1.5088861788e+02 5.5642114497e+01 1.0000000000e-07 1.0000000000e-07 1.5368701840e+07 -3.4912583295e+07 1.1935686301e+05 1.1935686301e+05 1.7921881213e-18 -8.5643926314e+04 
1.0000000000e-02 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.5496980852e-01 2.3890597290e+01 1.9467235085e+01 5.8758771164e+05 2.0105546130e+01 -5.5780711839e-01 4.7881532351e+07 0.0000000000e+00 -6.2976325475e-02 -1.6945363397e-02 -1.1821678930e+00 -1.0216789099e-01 1.7000000000e+01 -1.9388699978e+07 1.3866205269e+05 -5.3960229781e+05 3.0000000000e+02 6.0327829750e+01 3.7878113657e+01 3.4635543179e+01 2.5528299441e+01 1.7000000000e+01 3.5822251190e-15 4.7881532351e+07 2.6913137042e-01 4.7881532351e+07 2.0473634457e+07 1.5411853913e-15 2.0473634457e+07 -4.2584572450e+07 -3.1771256563e-15 -4.2584572450e+07 1.3504780029e+02 5.2680088360e+01 1.0000000000e-07 1.0000000000e-07 2.0473634457e+07 -4.2584572450e+07 1.1023026605e+05 1.1023026605e+05 1.5922908516e-18 -9.1239275745e+04 
1.0180000000e-02 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.5180325603e-01 2.3855458567e+01 1.9351316369e+01 5.9876832579e+05 2.0119746542e+01 -5.0604970832e-01 5.2957950202e+07 0.0000000000e+00 -5.8964471625e-02 -1.6859750495e-02 -1.1790013381e+00 -9.9001338500e-02 1.7000000000e+01 -1.6769204175e+07 1.4251063879e+05 -5.4493339202e+05 3.0000000000e+02 6.0173923923e+01 3.8837117471e+01 3.4413511861e+01 2.5680769718e+01 1.7000000000e+01 2.6865804406e-15 5.2957950202e+07 2.4555780829e-01 5.2957950202e+07 2.4075441916e+07 1.1170669909e-15 2.4075441916e+07 -4.6168616013e+07 -2.3908422139e-15 -4.6168616013e+07 1.2951313394e+02 4.9779328454e+01 1.0000000000e-07 1.0000000000e-07 2.4075441916e+07 -4.6168616013e+07 1.1167589716e+05 1.1167589716e+05 1.4945254376e-18 -1.0498547516e+05 
1.0500000000e-02 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.4815202694e-01 2.3794558171e+01 1.9113628753e+01 6.2656318795e+05 2.0127729747e+01 -4.4879224129e-01 6.8508637931e+07 0.0000000000e+00 -5.4838029901e-02 -1.6616860305e-02 -1.1753501074e+00 -9.5350109518e-02 1.7000000000e+01 -1.5052027645e+07 1.4491526028e+05 -5.6923470491e+05 3.0000000000e+02 5.6200854807e+01 3.8776217074e+01 3.2894784763e+01 2.5443082103e+01 1.7000000000e+01 1.8628959563e-15 6.8508637931e+07 2.0764890028e-01 6.8508637931e+07 3.9550444855e+07 8.8327332761e-16 3.9550444855e+07 -5.5516799874e+07 -1.5985941794e-15 -5.5516799874e+07 7.9899174369e+01 4.1701373505e+01 1.0000000000e-07 1.0000000000e-07 3.9550444855e+07 -5.5516799874e+07 1.0040416705e+05 1.0040416705e+05 1.3592945845e-18 -1.3635556702e+05 
1.0680000000e-02 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.4422766665e-01 2.4960313204e+01 1.9649923616e+01 6.0960565987e+05 2.0152041910e+01 -3.8395183392e-01 6.7181832405e+07 0.0000000000e+00 -4.9466450646e-02 -1.6552225131e-02 -1.1714257480e+00 -9.1425749223e-02 1.7000000000e+01 -1.0745578479e+07 1.3203547204e+05 -5.4819100828e+05 3.0000000000e+02 5.8603429522e+01 4.5481775555e+01 3.3950897389e+01 2.7969967861e+01 1.7000000000e+01 2.5357066846e-15 6.7181832405e+07 1.7885994597e-01 6.7181832405e+07 3.9262835985e+07 -2.6376956480e-16 3.9262835985e+07 -5.4072878442e+07 3.7925081781e-16 -5.4072878442e+07 7.6198904779e+01 3.8956175986e+01 1.0000000000e-07 1.0000000000e-07 3.9262835985e+07 -5.4072878442e+07 1.0452335559e+05 1.0452335559e+05 1.4803081056e-18 -1.5151182105e+05 
1.1000000000e-02 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.3170370402e-01 2.7079952423e+01 2.0590058381e+01 6.1053654362e+05 2.0146504420e+01 -1.7809476752e-01 9.1208985862e+07 0.0000000000e+00 -3.7272115692e-02 -1.6282221425e-02 -1.1589017863e+00 -7.8901786706e-02 1.7000000000e+01 -8.1522245505e+06 1.3277300388e+05 -4.7562631621e+05 3.0000000000e+02 5.5302719431e+01 4.9222046760e+01 3.2801207854e+01 3.0060616631e+01 1.7000000000e+01 2.8267402275e-15 9.1208985862e+07 1.7255510388e-01 9.1208985862e+07 7.1192767800e+07 -8.8546036205e-16 7.1192767800e+07 -5.4517935212e+07 2.6469203078e-15 -5.4517935212e+07 3.6252205072e+01 2.5604739014e+01 1.0000000000e-07 1.0000000000e-07 7.1192767800e+07 -5.4517935212e+07 1.0445356081e+05 1.0445356081e+05 1.5395091868e-18 -3.2896644096e+05 
1.1180000000e-02 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.2962142080e-01 3.4252012201e+01 2.5140861647e+01 5.3692703195e+05 2.0164373672e+01 -1.4366989287e-01 7.8611412150e+07 0.0000000000e+00 -3.4126137725e-02 -1.6249131887e-02 -1.1568195022e+00 -7.6819503492e-02 1.7000000000e+01 -5.2503632923e+06 9.7902237654e+04 -4.2490075592e+05 3.0000000000e+02 6.3435198035e+01 6.6169807987e+01 3.6940210551e+01 3.6740805923e+01 1.7000000000e+01 8.4427948235e-15 7.8611412150e+07 1.6711255151e-01 7.8611412150e+07 5.1591958233e+07 -4.1817477606e-15 5.1591958233e+07 -3.1835742671e+07 7.1647377017e-15 -3.1835742671e+07 5.2627677832e+01 3.1199707486e+01 1.0000000000e-07 1.0000000000e-07 5.1591958233e+07 -3.1835742671e+07 1.1360776294e+05 1.1360776294e+05 2.3376536391e-18 -2.9212481782e+05 
1.1500000000e-02 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.1330236787e-01 3.8945789335e+01 2.7695210952e+01 4.8909431924e+05 2.0153745395e+01 1.2791372856e-01 2.4134556647e+07 0.0000000000e+00 -1.8439749360e-02 -1.6096512342e-02 -1.1405004524e+00 -6.0500450453e-02 1.7000000000e+01 -2.0516939740e+06 6.4745938132e+04 -2.6682518427e+05 3.0000000000e+02 1.3536974746e+02 7.7774388535e+01 5.0312250585e+01 4.4030550416e+01 1.7000000000e+01 1.6399835191e-14 2.4134556647e+07 1.4856656228e-01 2.4134556647e+07 -1.8780497727e+07 -7.4375587186e-15 -1.8780497727e+07 1.4665160314e+07 1.4451771758e-14 1.4665160314e+07 6.3392113810e+01 3.3139026151e+01 1.0000000000e-07 1.0000000000e-07 -1.8780497727e+07 1.4665160314e+07 1.3259308855e+05 1.3259308855e+05 3.0133863273e-18 -3.6802686894e+05 
